name,alias,description
Cb1,POO7,https://github.com/mne-tools/mne-python/issues/8765
Cb2,POO8,https://github.com/mne-tools/mne-python/issues/8765
CB1,POO7,https://github.com/mne-tools/mne-python/issues/8765
CB2,POO8,https://github.com/mne-tools/mne-python/issues/8765
T1,T9,https://github.com/mne-tools/mne-python/issues/8765
T2,T10,https://github.com/mne-tools/mne-python/issues/8765
T3,T7,https://core.ac.uk/download/pdf/144965483.pdf
T4,T8,https://core.ac.uk/download/pdf/144965483.pdf
T5,T9,https://core.ac.uk/download/pdf/144965483.pdf
T6,T10,https://core.ac.uk/download/pdf/144965483.pdf
M1,TP9,https://github.com/mne-tools/mne-python/issues/8765
M2,TP10,https://github.com/mne-tools/mne-python/issues/8765